,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.45,0.57,0.07,1.01,-3.1199999999999997%,12.75%
淡水,-0.39,0.58,0.98,1.82,-0.83%,7.07%
竹子湖,-0.07,0.35,0.71,1.39,2.0%,12.07%
基隆,-0.54,0.64,0.06,0.9,0.69%,7.07%
台北,0.02,0.78,0.52,1.38,-1.32%,10.36%
新屋,-0.02,0.28,0.14,0.76,1.31%,6.0600000000000005%
板橋,-0.18,0.53,0.34,1.05,-0.19%,11.98%
新竹,-0.13,0.32,1.12,1.74,2.79%,9.43%
宜蘭,0.1,0.37,0.09,0.57,-0.7799999999999999%,8.43%
蘇澳,-0.62,0.78,0.24,1.23,1.38%,5.74%
overal,-0.14,0.52,0.43,1.25,0.19%,9.1%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
合格站數,10,10,10,10,10,10
