,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
台中,0.56,0.79,0.86,1.39,-0.03%,7.3999999999999995%
花蓮,-0.29,0.49,-0.53,1.0,-1.59%,7.66%
日月潭,0.44,0.62,0.15,0.68,0.22%,10.83%
阿里山,0.54,0.65,0.01,0.27,-1.83%,9.31%
玉山,0.82,1.11,-2.04,3.24,-1.43%,17.94%
成功,-0.64,0.79,0.2,0.87,-5.6000000000000005%,10.89%
台東,-0.46,0.59,0.13,0.48,-1.55%,8.5%
大武,-0.7,0.97,0.57,1.58,1.9%,9.610000000000001%
overal,0.03,0.75,-0.08,1.48,-1.24%,10.26%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,88.0%,88.0%,100.0%,100.0%
合格站數,8,8,7,7,8,8
