,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
台中,0.56,0.79,0.86,1.39,-0.03%,7.3999999999999995%
日月潭,0.44,0.62,0.15,0.68,0.22%,10.83%
阿里山,0.54,0.65,0.01,0.27,-1.83%,9.31%
嘉義,0.72,0.85,0.46,1.06,1.48%,9.02%
玉山,0.82,1.11,-2.04,3.24,-1.43%,17.94%
永康,0.65,0.82,0.55,1.1,0.44999999999999996%,9.370000000000001%
台南,0.31,0.53,0.62,1.2,2.65%,9.950000000000001%
overal,0.58,0.77,0.09,1.55,0.22%,10.54%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,86.0%,86.0%,100.0%,100.0%
合格站數,7,7,6,6,7,7
