,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
台中,1.07,1.26,0.95,1.38,-0.06%,7.88%
花蓮,-0.02,0.26,-0.41,1.0,-2.23%,11.469999999999999%
日月潭,0.95,1.03,0.04,0.58,-0.6799999999999999%,11.52%
阿里山,0.73,0.82,-0.01,0.31,-2.82%,9.85%
玉山,1.15,1.26,-2.43,3.58,-4.63%,13.58%
成功,-0.26,0.52,0.16,0.79,-1.7999999999999998%,11.09%
台東,-0.11,0.39,0.27,0.64,0.48%,8.63%
大武,-0.5,0.71,1.4,2.79,4.32%,14.97%
overal,0.36,0.77,0.05,1.7,-0.84%,11.07%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,88.0%,88.0%,100.0%,100.0%
合格站數,8,8,7,7,8,8
