,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.75,0.83,0.46,1.3,4.99%,20.830000000000002%
淡水,-0.02,0.28,1.11,1.85,0.95%,8.59%
竹子湖,0.05,0.36,0.62,1.17,-3.17%,11.09%
基隆,-0.71,0.82,-0.19,1.17,-1.39%,11.74%
台北,0.42,0.74,0.33,1.08,-1.7999999999999998%,12.809999999999999%
新屋,0.1,0.34,0.43,1.04,-1.23%,5.4%
板橋,0.03,0.42,0.2,0.87,-1.13%,9.719999999999999%
新竹,0.13,0.51,1.88,2.65,-3.05%,10.45%
宜蘭,0.16,0.4,0.15,0.61,-0.84%,11.24%
蘇澳,-0.37,0.55,0.19,0.76,0.8999999999999999%,7.4399999999999995%
overal,0.05,0.52,0.52,1.37,-0.5700000000000001%,10.96%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,90.0%,100.0%,100.0%,100.0%
合格站數,10,10,9,10,10,10
