,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.75,0.83,0.46,1.3,4.99%,20.830000000000002%
淡水,-0.02,0.28,1.11,1.85,0.95%,8.59%
竹子湖,0.05,0.36,0.62,1.17,-3.17%,11.09%
基隆,-0.71,0.82,-0.19,1.17,-1.39%,11.74%
台北,0.42,0.74,0.33,1.08,-1.7999999999999998%,12.809999999999999%
新屋,0.1,0.34,0.43,1.04,-1.23%,5.4%
板橋,0.03,0.42,0.2,0.87,-1.13%,9.719999999999999%
新竹,0.13,0.51,1.88,2.65,-3.05%,10.45%
宜蘭,0.16,0.4,0.15,0.61,-0.84%,11.24%
蘇澳,-0.37,0.55,0.19,0.76,0.8999999999999999%,7.4399999999999995%
梧棲,0.27,0.55,0.81,1.43,-0.42%,7.3999999999999995%
台中,1.07,1.26,0.95,1.38,-0.06%,7.88%
花蓮,-0.02,0.26,-0.41,1.0,-2.23%,11.469999999999999%
日月潭,0.95,1.03,0.04,0.58,-0.6799999999999999%,11.52%
阿里山,0.73,0.82,-0.01,0.31,-2.82%,9.85%
嘉義,0.93,1.09,0.47,1.0,0.06%,8.51%
玉山,1.15,1.26,-2.43,3.58,-4.63%,13.58%
成功,-0.26,0.52,0.16,0.79,-1.7999999999999998%,11.09%
永康,0.92,1.07,0.48,1.12,2.41%,10.190000000000001%
台南,0.44,0.68,0.46,1.07,5.390000000000001%,10.45%
台東,-0.11,0.39,0.27,0.64,0.48%,8.63%
高雄,0.42,0.72,0.58,1.16,-2.79%,15.15%
大武,-0.5,0.71,1.4,2.79,4.32%,14.97%
恆春,-0.42,0.6,1.91,2.43,0.15%,5.38%
overal,0.25,0.67,0.43,1.51,-0.31%,10.620000000000001%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,88.0%,96.0%,100.0%,100.0%
合格站數,24,24,21,23,24,24
