,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.38,0.52,0.26,0.99,-1.43%,15.57%
淡水,-0.28,0.56,0.6,1.16,0.37%,9.26%
竹子湖,-0.21,0.44,0.49,1.05,0.42%,12.42%
基隆,-0.45,0.58,0.24,0.8,1.63%,7.68%
台北,-0.09,0.7,0.53,1.21,-0.44999999999999996%,10.17%
新屋,-0.13,0.45,0.26,1.03,0.9199999999999999%,7.779999999999999%
板橋,-0.14,0.53,0.33,0.91,-0.6%,10.97%
新竹,-0.09,0.6,1.08,1.69,1.04%,11.49%
宜蘭,0.14,0.45,0.22,0.8,0.66%,9.75%
蘇澳,-0.45,0.61,0.77,1.54,1.44%,8.73%
梧棲,-0.14,0.47,0.17,0.86,-2.25%,6.12%
台中,0.03,0.69,0.55,0.93,0.8500000000000001%,7.04%
花蓮,-0.07,0.34,-0.2,0.84,-1.5%,7.539999999999999%
日月潭,0.25,0.82,0.05,0.73,-1.3%,8.86%
阿里山,0.27,0.62,-0.02,0.36,-3.38%,9.24%
嘉義,0.41,0.78,0.32,0.84,-1.08%,8.309999999999999%
玉山,0.81,1.01,-1.51,2.47,-11.58%,19.31%
成功,-0.24,0.46,0.63,1.22,-2.45%,8.59%
永康,-0.08,0.54,0.34,0.79,0.24%,8.12%
台南,-0.18,0.44,0.37,0.8,2.4699999999999998%,7.88%
台東,-0.29,0.47,0.18,0.58,-0.88%,5.58%
高雄,-0.31,0.48,0.57,0.95,-2.44%,7.290000000000001%
大武,-0.48,0.81,0.23,0.78,0.9299999999999999%,8.19%
恆春,-1.08,1.14,1.05,1.47,2.2399999999999998%,6.279999999999999%
overal,-0.1,0.6,0.32,1.11,-0.64%,9.229999999999999%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,96.0%,100.0%,96.0%,100.0%
合格站數,24,24,23,24,23,24
