,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
嘉義,0.41,0.78,0.32,0.84,-1.08%,8.309999999999999%
玉山,0.81,1.01,-1.51,2.47,-11.58%,19.31%
永康,-0.08,0.54,0.34,0.79,0.24%,8.12%
台南,-0.18,0.44,0.37,0.8,2.4699999999999998%,7.88%
高雄,-0.31,0.48,0.57,0.95,-2.44%,7.290000000000001%
大武,-0.48,0.81,0.23,0.78,0.9299999999999999%,8.19%
恆春,-1.08,1.14,1.05,1.47,2.2399999999999998%,6.279999999999999%
overal,-0.14,0.74,0.21,1.28,-1.21%,9.24%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,86.0%,100.0%,86.0%,100.0%
合格站數,7,7,6,7,6,7
